DateId,PK_Date,Date_Name,Year,Year_Name,Half_Year,Half_Year_Name,Quarter,Quarter_Name,Month,Month_Name,Day_Of_Year,Day_Of_Year_Name,Day_Of_Half_Year,Day_Of_Half_Year_Name,Day_Of_Quarter,Day_Of_Quarter_Name,Day_Of_Month,Day_Of_Month_Name,Month_Of_Year,Month_Of_Year_Name,Month_Of_Half_Year,Month_Of_Half_Year_Name,Month_Of_Quarter,Month_Of_Quarter_Name,Quarter_Of_Year,Quarter_Of_Year_Name,Quarter_Of_Half_Year,Quarter_Of_Half_Year_Name,Half_Year_Of_Year,Half_Year_Of_Year_Name
1,01-01-2006 00:00,Sunday -  January 01 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,1,Day 1,1,Day 1,1,Day 1,1,Day 1,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
2,01-02-2006 00:00,Monday -  January 02 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,2,Day 2,2,Day 2,2,Day 2,2,Day 2,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
3,01-03-2006 00:00,Tuesday -  January 03 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,3,Day 3,3,Day 3,3,Day 3,3,Day 3,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
4,01-04-2006 00:00,Wednesday -  January 04 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,4,Day 4,4,Day 4,4,Day 4,4,Day 4,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
5,01-05-2006 00:00,Thursday -  January 05 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,5,Day 5,5,Day 5,5,Day 5,5,Day 5,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
6,01-06-2006 00:00,Friday -  January 06 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,6,Day 6,6,Day 6,6,Day 6,6,Day 6,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
7,01-07-2006 00:00,Saturday -  January 07 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,7,Day 7,7,Day 7,7,Day 7,7,Day 7,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
8,01-08-2006 00:00,Sunday -  January 08 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,8,Day 8,8,Day 8,8,Day 8,8,Day 8,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
9,01-09-2006 00:00,Monday -  January 09 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,9,Day 9,9,Day 9,9,Day 9,9,Day 9,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
10,01-10-2006 00:00,Tuesday -  January 10 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,10,Day 10,10,Day 10,10,Day 10,10,Day 10,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
11,01-11-2006 00:00,Wednesday -  January 11 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,11,Day 11,11,Day 11,11,Day 11,11,Day 11,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
12,01-12-2006 00:00,Thursday -  January 12 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,12,Day 12,12,Day 12,12,Day 12,12,Day 12,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
13,1/13/2006 0:00,Friday -  January 13 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,13,Day 13,13,Day 13,13,Day 13,13,Day 13,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
14,1/14/2006 0:00,Saturday -  January 14 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,14,Day 14,14,Day 14,14,Day 14,14,Day 14,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
15,1/15/2006 0:00,Sunday -  January 15 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,15,Day 15,15,Day 15,15,Day 15,15,Day 15,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
16,1/16/2006 0:00,Monday -  January 16 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,16,Day 16,16,Day 16,16,Day 16,16,Day 16,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
17,1/17/2006 0:00,Tuesday -  January 17 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,17,Day 17,17,Day 17,17,Day 17,17,Day 17,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
18,1/18/2006 0:00,Wednesday -  January 18 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,18,Day 18,18,Day 18,18,Day 18,18,Day 18,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
19,1/19/2006 0:00,Thursday -  January 19 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,19,Day 19,19,Day 19,19,Day 19,19,Day 19,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
20,1/20/2006 0:00,Friday -  January 20 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,20,Day 20,20,Day 20,20,Day 20,20,Day 20,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
21,1/21/2006 0:00,Saturday -  January 21 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,21,Day 21,21,Day 21,21,Day 21,21,Day 21,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
22,1/22/2006 0:00,Sunday -  January 22 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,22,Day 22,22,Day 22,22,Day 22,22,Day 22,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
23,1/23/2006 0:00,Monday -  January 23 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,23,Day 23,23,Day 23,23,Day 23,23,Day 23,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
24,1/24/2006 0:00,Tuesday -  January 24 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,24,Day 24,24,Day 24,24,Day 24,24,Day 24,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
